月份,貸款利率,年所得,CPI,失業率,公寓單價_平均,公寓單價_中位,公寓成交_(棟),房價_平均,房價_中位,住宅大樓成交_(棟),透天厝單價_平均,透天厝單價_中位,透天厝成交_(棟),遷入,遷出,城市,年,月,日期,人口淨流入,失業率_num,預測房價,殘差
2018.04,1.629,1279865,97.61,3.6,15,14,144,76,18,1956,42,37,725,3134,3621,臺中市,2018,4,2018-04-01,-487,3.6,23.464988849158907,52.53501115084109
2014.05,1.961,1575819,94.76,4,52,49,446,67,65,936,208,145,57,6270,6461,臺北市,2014,5,2014-05-01,-191,4,51.50258062942501,15.497419370574988
2015.01,1.985,1581899,93.3,3.7,53,49,328,66,62,585,138,83,25,5720,5887,臺北市,2015,1,2015-01-01,-167,3.7,51.32070932988899,14.679290670111008
2014.02,1.97,1575819,93.81,4,50,50,310,66,63,650,146,122,28,6270,6461,臺北市,2014,2,2014-02-01,-191,4,51.78235393783696,14.217646062163041
2015.03,1.99,1307158,93.41,3.8,13,12,209,18,18,1095,33,28,479,3140,9210,桃園市,2015,3,2015-03-01,-6070,3.8,3.820884323719689,14.179115676280311
2023.12,2.079,1751823,106.58,3.5,59,57,484,79,76,874,143,106,34,4285,3609,臺北市,2023,12,2023-12-01,676,3.5,64.85079842750136,14.14920157249864
2023.1,2.077,1751823,106.92,3.5,60,57,385,80,78,773,164,147,26,4815,3894,臺北市,2023,1,2023-01-01,921,3.5,65.93157051831363,14.068429481686366
2015.03,1.99,1581899,93.41,3.7,52,50,388,66,64,803,161,130,34,7069,7044,臺北市,2015,3,2015-03-01,25,3.7,52.26077660470887,13.739223395291127
2019.07,1.619,1723021,98.6,3.8,48,45,499,65,62,1019,112,92,36,9734,5478,臺北市,2019,7,2019-07-01,4256,3.8,78.52508849907423,13.52508849907423
2014.11,1.959,1575819,94.78,4,51,48,466,65,63,862,175,114,50,6270,6461,臺北市,2014,11,2014-11-01,-191,4,51.47994941093441,13.52005058906559
